English,PE
a,a
about,aba1t
after,aFTiR
all,aL
also,aLSO
an,eN
and,aND
any,eNE
as,aZ
at,aT
back,BaK
be,BI
because,BEKuZ
but,BuT
by,BI
can,KaN
come,KuM
could,K1D
day,DA
do,DU
even,EViN
first,FiRST
for,FOR
from,FRuM
get,GeT
give,GiV
go,GO
good,G1D
have,HaV
he,HE
her,HiR
him,HiM
his,HiZ
hour,aWR
how,HaW
i,I
if,iF
in,iN
into,iNTU
it,iT
its,iTS
just,JuST
know,NOW
like,LeYk
list,LiST
look,L1K
make,MAK
me,ME
most,MOST
my,MI
new,NU
no,NO
not,Not
now,NaW
of,uV
on,on
one,WoN
only,ONLE
or,OR
other,o3iR
our,aR
out,a1T
over,OVuR
people,PEPL
say,SeY
see,SE
she,5E
so,SO
some,SuM
take,TAK
than,3aN
that,3aT
the,3u
their,3eYR
them,3eM
then,3eN
there,3eR
these,3EZ
they,3eY
think,3iNK
this,3iS
time,TIM
to,TU
two,TU
up,uP
us,uS
use,YUZ
want,WoNT
way,WA
we,WE
well,WeL
what,WuT
when,WeN
which,Wi4
who,HU
will,WiL
with,Wi3
work,WiRK
would,W1D
year,YER
you,YU
your,YOR
common,KoMiN
word,WiRD
words,WiRDZ
English,iYNGLi5
below,BeLO
cannot,KaNot
definitive,DiFiNaTiV
based,BASD
analysis,aNaLiSiS
oxford,oKSFiRD
corpus,KORPiS
billion,BiLEYuN
represents,RePReZeNTS
one,WuN
study,STuDE
done,DuN
online,oNLIN
lie,LI
line,LIN
associate,uSOSEYAT
associated,uSOSEYATiD
dictionary,DiK5uNeRE
diction,DiK5uN
source,SORS
includes,iNKLUDZ
include,iNKLUD
writing,RuYTiYNG
write,RuYT
sorts,SORTS
sort,SORT
literary,LiTiReRE
novel,NoViL
novels,NoViLZ
special,SPE5uL
specials,SPE5uLZ
specialist,SPE5uLiST
journal,JiRNuL
journals,JiRNuLZ
every,eViRE
everyday,eViREDA
newspapers,NUZPAPiRZ
magazines,MaGaZENZ
magazine,MaGaZEN
hansard,HaNSuRD
language,LAYNGWiJ
chat,4aT
room,RUM
rooms,RUMZ
chatrooms,4atRUMZ
chatroom,4atRUM
email,EMAYL
e-mail,EMAYL
mail,MAYL
emails,EMAYLZ
e-mails,EMAYLZ
web,WeB
log,LoG
logs,LoGZ
blog,BLoG
blogs,BLoGZ
unlike,uNLeYK
